date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:41	62363/62363	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2018:04:40%20GMT	http://kurtwinterdesign.com/	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/index.html	(from )
22:05:07	69/69	---M-Z	200	added ('OK')	text/plain	date:Fri,%2017%20Jun%202022%2018:04:39%20GMT	http://kurtwinterdesign.com/robots.txt		(from )
22:05:08	1198/1198	---M-Z	200	added ('OK')	text/css	etag:%226020c1a-4ae-56f0a8a7afd85-gzip%22	http://kurtwinterdesign.com/wp-content/themes/semplice4/style.css?ver=4.2.2	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/wp-content/themes/semplice4/style3a05.css	(from http://kurtwinterdesign.com/)
22:05:08	86546/86546	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2018:05:08%20GMT	http://s.w.org/	/Users/ibrahimyasir/Documents/user%20experience%20/aut/s.w.org/index.html	(from http://kurtwinterdesign.com/)
22:05:09	144091/144091	---M-Z	200	added ('OK')	text/css	etag:%2260207e8-232db-56f0a8a5fc893-gzip%22	http://kurtwinterdesign.com/wp-content/themes/semplice4/assets/css/frontend.min.css?ver=4.2.2	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/wp-content/themes/semplice4/assets/css/frontend.min3a05.css	(from http://kurtwinterdesign.com/)
22:05:10	11232/11232	---M-Z	200	added ('OK')	text/css	etag:%2260435ac-2be0-557d55149e0c0-gzip%22	http://kurtwinterdesign.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from http://kurtwinterdesign.com/)
22:05:13	96874/96874	---M-Z	200	added ('OK')	application/javascript	etag:%22604356a-17a6a-591c11fdf5940-gzip%22	http://kurtwinterdesign.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://kurtwinterdesign.com/)
22:05:13	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%226043564-2748-5333ff613c400-gzip%22	http://kurtwinterdesign.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://kurtwinterdesign.com/)
22:05:13	5595/5595	---M-Z	200	added ('OK')	application/javascript	etag:%226020b3e-15db-57056cccd20cd-gzip%22	http://kurtwinterdesign.com/wp-content/plugins/wp-google-analytics-events/js/ga-scroll-events.js?ver=2.5.1	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/wp-content/plugins/wp-google-analytics-events/js/ga-scroll-events9776.js	(from http://kurtwinterdesign.com/)
22:05:16	156559/156559	---M-Z	200	added ('OK')	application/javascript	etag:%2260435bd-2638f-55bade28e4e00-gzip%22	http://kurtwinterdesign.com/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.6-78496d1	/Users/ibrahimyasir/Documents/user%20experience%20/aut/kurtwinterdesign.com/wp-includes/js/mediaelement/mediaelement-and-player.min45a0.js	(from http://kurtwinterdesign.com/)
